CreatedById,CreatedDate,EinsteinAnswersCorpusScope,EinsteinAnswersNamespace,Id,IsDeleted,LastModifiedById,LastModifiedDate,LastUpdate,Name,NetworkString,Payload,SystemModstamp,Version
005R0000000UviLIAS,2018-10-25T21:49:10.000Z,ArW,STATS,0SwR00000000006KAA,false,005R0000000UviLIAS,2018-10-25T21:49:10.000Z,2018-10-25T21:26:14.000Z,00000005,II,"{""FEATURE_NAMESPACE_CLASS"":""gridforce.hadoop.pig.udf.einsteinanswers.ArticleStats"",""FEATURE_NAMESPACE_VALUE"":{""artCount"":3676,""avgArtTitleLength"":7.682575500811645,""avgArtSummaryLength"":0.1639344262295082,""avgArtBodyLength"":255.0343388215987}}",2018-10-25T21:49:10.000Z,1
005R0000000UviLIAS,2018-10-25T21:49:10.000Z,ArW,STATS,0SwR00000000007KAA,false,005R0000000UviLIAS,2018-10-25T21:49:10.000Z,2018-10-25T21:26:14.000Z,00000006,000000000000000,"{""FEATURE_NAMESPACE_CLASS"":""gridforce.hadoop.pig.udf.einsteinanswers.ArticleStats"",""FEATURE_NAMESPACE_VALUE"":{""artCount"":3676,""avgArtTitleLength"":7.682575500811645,""avgArtSummaryLength"":0.1639344262295082,""avgArtBodyLength"":255.0343388215987}}",2018-10-25T21:49:10.000Z,1
005R0000000UviLIAS,2018-10-25T21:49:10.000Z,CT,STATS,0SwR00000000008KAA,false,005R0000000UviLIAS,2018-10-25T21:49:10.000Z,2018-10-25T21:26:14.000Z,00000007,II,COMPLETED,2018-10-25T21:49:10.000Z,1
005R0000000UviLIAS,2018-10-25T21:49:10.000Z,CT,STATS,0SwR00000000009KAA,false,005R0000000UviLIAS,2018-10-25T21:49:10.000Z,2018-10-25T21:26:14.000Z,00000008,000000000000000,COMPLETED,2018-10-25T21:49:10.000Z,1
